,detection_id,name,class,confidence,box,frame
0,0,Vehicle,0,0.84024,"{'x1': 832.24829, 'y1': 255.26797, 'x2': 879.02246, 'y2': 321.39359}",1
1,1,Vehicle,0,0.7907,"{'x1': 569.45441, 'y1': 281.82016, 'x2': 598.31366, 'y2': 320.00198}",1
2,2,Vehicle,0,0.74854,"{'x1': 685.06067, 'y1': 281.29074, 'x2': 714.70203, 'y2': 319.42599}",1
3,3,Vehicle,0,0.42005,"{'x1': 709.26294, 'y1': 257.68323, 'x2': 731.88525, 'y2': 296.95557}",1
4,0,Vehicle,0,0.84122,"{'x1': 832.27417, 'y1': 255.29749, 'x2': 878.9502, 'y2': 321.45032}",2
5,1,Vehicle,0,0.80264,"{'x1': 569.01074, 'y1': 281.88342, 'x2': 598.67212, 'y2': 320.06055}",2
6,2,Vehicle,0,0.73525,"{'x1': 684.7948, 'y1': 281.14374, 'x2': 714.854, 'y2': 318.56683}",2
7,3,Vehicle,0,0.34449,"{'x1': 706.96454, 'y1': 252.67883, 'x2': 730.75665, 'y2': 300.25415}",2
8,0,Vehicle,0,0.87685,"{'x1': 938.45203, 'y1': 552.31152, 'x2': 1088.45691, 'y2': 663.53333}",3
9,1,Vehicle,0,0.85065,"{'x1': 557.96436, 'y1': 286.36981, 'x2': 590.37329, 'y2': 328.34344}",3
10,2,Vehicle,0,0.81343,"{'x1': 833.11389, 'y1': 256.04492, 'x2': 879.29602, 'y2': 321.23853}",3
11,3,Vehicle,0,0.75802,"{'x1': 683.36102, 'y1': 278.32227, 'x2': 710.06012, 'y2': 313.74634}",3
12,4,Vehicle,0,0.31203,"{'x1': 705.61896, 'y1': 254.62244, 'x2': 729.07416, 'y2': 296.24438}",3
13,5,Vehicle,0,0.29148,"{'x1': 590.24854, 'y1': 268.88062, 'x2': 615.05127, 'y2': 293.99646}",3
14,0,Vehicle,0,0.87555,"{'x1': 382.73273, 'y1': 380.37695, 'x2': 452.7475, 'y2': 447.76172}",4
15,1,Vehicle,0,0.8309,"{'x1': 831.33167, 'y1': 256.1619, 'x2': 879.4425, 'y2': 320.89822}",4
16,2,Vehicle,0,0.82615,"{'x1': 710.30731, 'y1': 383.40729, 'x2': 777.82758, 'y2': 436.3255}",4
17,3,Vehicle,0,0.8057,"{'x1': 512.08398, 'y1': 307.06253, 'x2': 550.89868, 'y2': 348.08621}",4
18,4,Vehicle,0,0.69722,"{'x1': 718.90198, 'y1': 299.60883, 'x2': 751.74524, 'y2': 325.56622}",4
19,5,Vehicle,0,0.37156,"{'x1': 605.17651, 'y1': 279.15729, 'x2': 628.47656, 'y2': 309.38214}",4
20,0,Vehicle,0,0.88951,"{'x1': 377.92566, 'y1': 384.69562, 'x2': 447.6228, 'y2': 453.16693}",5
21,1,Vehicle,0,0.83793,"{'x1': 831.31567, 'y1': 256.04721, 'x2': 879.40356, 'y2': 320.77762}",5
22,2,Vehicle,0,0.83279,"{'x1': 709.63281, 'y1': 379.99316, 'x2': 773.44702, 'y2': 430.46814}",5
23,3,Vehicle,0,0.79524,"{'x1': 510.78146, 'y1': 307.87805, 'x2': 548.40063, 'y2': 348.63275}",5
24,4,Vehicle,0,0.66029,"{'x1': 718.4754, 'y1': 298.29507, 'x2': 749.24506, 'y2': 324.20877}",5
25,5,Vehicle,0,0.34345,"{'x1': 604.26398, 'y1': 278.59451, 'x2': 629.09186, 'y2': 309.47446}",5
26,0,Vehicle,0,0.8886,"{'x1': 372.39078, 'y1': 387.62796, 'x2': 444.29947, 'y2': 457.95059}",6
27,1,Vehicle,0,0.87378,"{'x1': 709.37158, 'y1': 376.94241, 'x2': 764.61267, 'y2': 426.37888}",6
28,2,Vehicle,0,0.84283,"{'x1': 831.70679, 'y1': 256.22888, 'x2': 879.20093, 'y2': 320.87903}",6
29,3,Vehicle,0,0.81496,"{'x1': 509.76556, 'y1': 308.28894, 'x2': 547.8786, 'y2': 350.15955}",6
30,4,Vehicle,0,0.68189,"{'x1': 718.92853, 'y1': 298.39319, 'x2': 748.58295, 'y2': 322.94312}",6
31,5,Vehicle,0,0.31943,"{'x1': 604.2854, 'y1': 282.47186, 'x2': 627.41382, 'y2': 310.16504}",6
32,0,Vehicle,0,0.87712,"{'x1': 365.75293, 'y1': 391.19336, 'x2': 440.41223, 'y2': 463.55029}",7
33,1,Vehicle,0,0.87382,"{'x1': 707.74402, 'y1': 375.78308, 'x2': 762.52039, 'y2': 421.93109}",7
34,2,Vehicle,0,0.84267,"{'x1': 831.79877, 'y1': 256.18652, 'x2': 879.08258, 'y2': 320.94519}",7
35,3,Vehicle,0,0.81399,"{'x1': 508.93701, 'y1': 308.52094, 'x2': 548.04114, 'y2': 351.5224}",7
36,4,Vehicle,0,0.72196,"{'x1': 719.06439, 'y1': 296.59564, 'x2': 747.64313, 'y2': 322.52551}",7
37,5,Vehicle,0,0.27298,"{'x1': 602.17859, 'y1': 284.1391, 'x2': 626.34558, 'y2': 311.03461}",7
38,0,Vehicle,0,0.88175,"{'x1': 359.65945, 'y1': 395.2388, 'x2': 437.42068, 'y2': 467.77634}",8
39,1,Vehicle,0,0.86528,"{'x1': 706.85986, 'y1': 372.49768, 'x2': 758.49341, 'y2': 417.90735}",8
40,2,Vehicle,0,0.84644,"{'x1': 831.64746, 'y1': 256.19574, 'x2': 879.16907, 'y2': 320.99957}",8
41,3,Vehicle,0,0.82281,"{'x1': 503.35696, 'y1': 307.66528, 'x2': 547.1748, 'y2': 353.61072}",8
42,4,Vehicle,0,0.7362,"{'x1': 718.18695, 'y1': 295.25476, 'x2': 747.13531, 'y2': 322.43237}",8
43,5,Vehicle,0,0.26334,"{'x1': 600.46716, 'y1': 285.89606, 'x2': 625.52307, 'y2': 311.70197}",8
44,0,Vehicle,0,0.86795,"{'x1': 352.82953, 'y1': 396.13403, 'x2': 430.28009, 'y2': 471.92542}",9
45,1,Vehicle,0,0.85282,"{'x1': 705.67456, 'y1': 369.49738, 'x2': 757.24292, 'y2': 414.20905}",9
46,2,Vehicle,0,0.84683,"{'x1': 831.72205, 'y1': 256.17621, 'x2': 879.15808, 'y2': 321.02325}",9
47,3,Vehicle,0,0.79426,"{'x1': 501.13904, 'y1': 309.13098, 'x2': 542.67859, 'y2': 353.3479}",9
48,4,Vehicle,0,0.74813,"{'x1': 717.59344, 'y1': 295.27014, 'x2': 745.61749, 'y2': 321.44812}",9
49,5,Vehicle,0,0.28883,"{'x1': 599.62921, 'y1': 286.76361, 'x2': 625.76813, 'y2': 311.85541}",9
50,0,Vehicle,0,0.87359,"{'x1': 344.43408, 'y1': 399.93396, 'x2': 426.49402, 'y2': 477.80634}",10
51,1,Vehicle,0,0.86309,"{'x1': 705.00629, 'y1': 366.03589, 'x2': 753.99908, 'y2': 410.99463}",10
52,2,Vehicle,0,0.85823,"{'x1': 499.00446, 'y1': 309.80838, 'x2': 541.21454, 'y2': 356.10269}",10
