                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4136,                 2.9605,                 1.8359,                0.00352,                0.10139,                0.00237,                0.00072,                 3.3309,                 3.7718,                 3.0566,                0.00032,                0.00032,                0.00032
                      2,                 1.5381,                 1.3558,                 1.2097,                 0.0063,                0.18143,                0.01629,                0.00903,                 3.1685,                 3.7474,                 2.6364,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.3134,                0.99911,                 1.0773,                0.79169,                0.38937,                0.47488,                 0.2786,                 1.7579,                 2.3492,                 1.5128,               0.000982,               0.000982,               0.000982
                      4,                 1.2314,                0.89424,                 1.0332,                0.82516,                0.84312,                0.89608,                0.57918,                 1.2186,                 1.0063,                 1.0218,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.1878,                0.83528,                 1.0188,                0.85643,                0.83396,                0.90981,                0.59885,                 1.2504,                 0.8837,                 1.0372,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1713,                0.79164,                 1.0154,                0.86113,                0.88474,                0.94131,                0.65519,                 1.0886,                0.73765,                0.97055,                0.00191,                0.00191,                0.00191
                      7,                 1.1454,                0.76874,                 1.0036,                0.86372,                0.90075,                0.94494,                0.62971,                 1.1748,                0.74615,                 1.0132,               0.001892,               0.001892,               0.001892
                      8,                 1.1179,                0.75088,                0.99204,                0.83821,                0.91787,                0.93271,                0.62094,                 1.1201,                0.81594,                0.99736,               0.001874,               0.001874,               0.001874
                      9,                 1.1121,                0.70522,                0.98663,                0.82705,                0.90333,                0.91392,                0.62664,                 1.0867,                0.72832,                0.99767,               0.001856,               0.001856,               0.001856
                     10,                 1.0946,                0.68328,                0.98452,                0.88147,                0.89968,                0.95858,                0.67377,                 1.0552,                0.65151,                0.97031,               0.001838,               0.001838,               0.001838
                     11,                 1.0755,                0.67846,                 0.9816,                0.84818,                0.90628,                0.93673,                0.64428,                  1.077,                0.76251,                0.98292,                0.00182,                0.00182,                0.00182
                     12,                 1.0771,                0.67327,                0.97598,                0.88662,                0.89297,                0.95127,                0.65108,                 1.0798,                0.66758,                0.98213,               0.001802,               0.001802,               0.001802
                     13,                 1.0715,                0.65325,                0.97899,                0.85886,                0.93917,                0.95717,                0.66592,                  1.116,                0.62699,                0.98574,               0.001784,               0.001784,               0.001784
                     14,                 1.0509,                  0.646,                0.96748,                0.91381,                0.89541,                0.95924,                0.68974,                  1.017,                0.61235,                0.95975,               0.001766,               0.001766,               0.001766
                     15,                  1.058,                0.62965,                0.96653,                0.89268,                0.91249,                0.96165,                0.69108,                 1.0395,                0.59438,                0.96898,               0.001748,               0.001748,               0.001748
                     16,                 1.0546,                0.62975,                0.96968,                0.86459,                0.91989,                0.94911,                0.67235,                  1.061,                0.60965,                0.96757,                0.00173,                0.00173,                0.00173
                     17,                 1.0401,                0.62379,                0.96354,                 0.8667,                0.91599,                0.95429,                0.67628,                 1.0554,                0.65826,                0.97191,               0.001712,               0.001712,               0.001712
                     18,                 1.0342,                0.61034,                0.95438,                0.83746,                0.91279,                0.92843,                0.65403,                 1.0161,                0.67551,                0.96162,               0.001694,               0.001694,               0.001694
                     19,                 1.0318,                0.61296,                0.96073,                0.87917,                0.92636,                0.95039,                0.67064,                  1.015,                0.61812,                 0.9648,               0.001676,               0.001676,               0.001676
                     20,                 1.0172,                0.59285,                0.95684,                0.90209,                0.92743,                0.97068,                0.70724,                 1.0056,                0.57029,                0.95685,               0.001658,               0.001658,               0.001658
                     21,                 1.0116,                0.56813,                0.94786,                 0.8946,                0.92743,                 0.9638,                0.69386,                 1.0444,                0.58156,                0.96639,                0.00164,                0.00164,                0.00164
                     22,                 1.0121,                0.58092,                0.95502,                0.89558,                0.93597,                0.97057,                0.71033,                 0.9894,                0.56429,                0.94748,               0.001622,               0.001622,               0.001622
                     23,                 1.0128,                0.58008,                 0.9522,                 0.8812,                0.92102,                0.96235,                0.67337,                 1.0696,                 0.6501,                 0.9824,               0.001604,               0.001604,               0.001604
                     24,                0.99897,                0.57375,                0.95211,                0.88136,                0.89221,                 0.9548,                0.69597,                 1.0244,                0.58984,                0.95891,               0.001586,               0.001586,               0.001586
                     25,                 1.0025,                0.56632,                0.94659,                0.90703,                0.92529,                0.97206,                0.70189,                 1.0263,                0.56896,                0.96095,               0.001568,               0.001568,               0.001568
                     26,                 0.9758,                0.55379,                0.94443,                0.88358,                0.94769,                0.97203,                0.72189,                0.98895,                0.52523,                0.94777,                0.00155,                0.00155,                0.00155
                     27,                0.98922,                0.55256,                0.94663,                0.91612,                0.92636,                0.97375,                0.69131,                 1.0509,                0.55525,                0.96733,               0.001532,               0.001532,               0.001532
                     28,                0.99198,                0.55395,                0.94967,                0.91242,                0.91676,                0.96748,                0.71291,                0.98599,                0.52637,                0.95178,               0.001514,               0.001514,               0.001514
                     29,                0.98481,                0.55059,                0.94678,                0.87377,                0.93383,                0.96344,                0.71004,                 1.0013,                0.54704,                0.96109,               0.001496,               0.001496,               0.001496
                     30,                 0.9842,                0.55165,                0.94723,                 0.9159,                0.91782,                0.96338,                0.68763,                 1.0155,                0.56326,                0.95452,               0.001478,               0.001478,               0.001478
                     31,                 0.9912,                 0.5462,                0.94413,                0.91031,                 0.9349,                0.97257,                0.70708,                 1.0325,                0.54717,                0.96066,                0.00146,                0.00146,                0.00146
                     32,                0.96431,                0.54171,                0.94285,                0.91293,                0.91142,                 0.9689,                0.70576,                 1.0219,                0.56979,                 0.9584,               0.001442,               0.001442,               0.001442
                     33,                0.97464,                0.54044,                0.93665,                0.90494,                0.93475,                0.97335,                 0.7247,                0.98519,                0.52775,                0.94441,               0.001424,               0.001424,               0.001424
                     34,                0.97164,                0.54762,                0.94493,                0.90427,                0.89434,                0.96224,                0.71718,                0.97809,                0.54818,                0.95052,               0.001406,               0.001406,               0.001406
                     35,                0.96738,                0.53372,                0.94569,                0.90715,                 0.9384,                0.97563,                 0.7193,                 1.0032,                0.51896,                0.95658,               0.001388,               0.001388,               0.001388
                     36,                0.96066,                0.53038,                0.93511,                0.90754,                0.91355,                0.97257,                0.70057,                 1.0356,                0.55775,                0.96841,                0.00137,                0.00137,                0.00137
                     37,                0.96237,                0.53307,                0.93964,                 0.9207,                0.92927,                0.97589,                0.72532,                0.98491,                0.52156,                 0.9468,               0.001352,               0.001352,               0.001352
                     38,                0.95439,                0.51967,                0.93779,                0.90626,                0.93597,                0.97485,                0.72448,                0.99341,                0.50043,                0.95045,               0.001334,               0.001334,               0.001334
                     39,                0.94443,                0.50509,                0.93779,                0.93218,                0.90715,                  0.973,                0.71142,                  1.022,                0.53157,                0.95725,               0.001316,               0.001316,               0.001316
                     40,                0.94899,                0.50864,                0.92936,                0.89206,                0.92529,                0.96604,                0.68956,                 1.0519,                0.61834,                0.96777,               0.001298,               0.001298,               0.001298
                     41,                0.94596,                0.52038,                0.93193,                0.90229,                0.92743,                0.97008,                0.71137,                0.99725,                0.57361,                0.95561,                0.00128,                0.00128,                0.00128
                     42,                0.95096,                0.52855,                0.93331,                 0.9209,                0.91355,                0.97597,                0.72499,                0.97054,                0.53934,                0.94636,               0.001262,               0.001262,               0.001262
                     43,                0.94402,                0.52269,                0.93412,                0.90149,                0.94735,                0.97387,                0.72106,                0.99837,                0.55551,                0.95821,               0.001244,               0.001244,               0.001244
                     44,                0.93404,                0.50411,                0.92943,                0.90955,                 0.9015,                0.97046,                0.70623,                0.99675,                0.54577,                0.95446,               0.001226,               0.001226,               0.001226
                     45,                 0.9323,                0.50134,                0.92538,                0.91935,                0.91569,                0.96561,                0.71846,                0.98468,                0.51201,                0.94635,               0.001208,               0.001208,               0.001208
                     46,                0.93659,                0.51796,                0.93214,                0.90209,                0.93411,                0.96559,                 0.7229,                0.98545,                0.52475,                0.94859,                0.00119,                0.00119,                0.00119
                     47,                0.92927,                0.50349,                0.92634,                0.89938,                0.93483,                  0.971,                0.72602,                0.98052,                0.50546,                0.94267,               0.001172,               0.001172,               0.001172
                     48,                0.91002,                0.48991,                0.92649,                0.91578,                0.92833,                0.97032,                 0.7224,                0.99001,                0.50578,                0.94783,               0.001154,               0.001154,               0.001154
                     49,                0.91234,                0.49799,                0.92626,                0.89893,                0.94921,                 0.9733,                0.73523,                 0.9723,                0.48928,                0.94427,               0.001136,               0.001136,               0.001136
                     50,                0.91493,                0.49138,                0.92389,                0.90214,                0.92481,                0.97462,                0.72853,                0.97213,                0.49336,                0.94463,               0.001118,               0.001118,               0.001118
                     51,                 0.9244,                0.49837,                0.92619,                0.88352,                0.93917,                0.96808,                0.72971,                0.96495,                0.50469,                0.94405,                 0.0011,                 0.0011,                 0.0011
                     52,                0.91547,                0.48955,                 0.9217,                0.92507,                0.92529,                0.97076,                0.72941,                 0.9517,                0.48689,                0.93769,               0.001082,               0.001082,               0.001082
                     53,                0.90225,                0.49303,                0.92359,                0.89574,                 0.9285,                0.96544,                0.70965,                 1.0061,                0.52225,                0.95031,               0.001064,               0.001064,               0.001064
                     54,                0.89905,                 0.4836,                0.91968,                0.91229,                0.93917,                0.97468,                0.72746,                0.96855,                0.50581,                0.94355,               0.001046,               0.001046,               0.001046
                     55,                0.90713,                0.48354,                0.92142,                0.91218,                0.90897,                0.96438,                0.72387,                 0.9706,                0.51557,                0.94607,               0.001028,               0.001028,               0.001028
                     56,                0.90134,                0.48125,                0.91829,                0.92478,                0.91842,                0.97438,                0.72677,                0.99549,                0.48958,                0.94934,                0.00101,                0.00101,                0.00101
                     57,                0.89122,                  0.479,                0.92097,                0.91622,                0.93703,                0.96742,                0.72946,                0.96795,                0.48787,                0.94626,               0.000992,               0.000992,               0.000992
                     58,                0.89209,                0.48175,                 0.9162,                0.89465,                0.92445,                0.96594,                0.72256,                0.98043,                0.49797,                0.94497,               0.000974,               0.000974,               0.000974
                     59,                0.88683,                0.47545,                0.91951,                0.91165,                0.94702,                0.97554,                0.72937,                0.94442,                 0.5152,                0.93751,               0.000956,               0.000956,               0.000956
                     60,                0.88901,                0.47016,                0.91885,                0.92276,                0.91796,                0.97623,                0.72982,                 0.9509,                0.50852,                0.93632,               0.000938,               0.000938,               0.000938
                     61,                0.88659,                0.46601,                0.91414,                0.91418,                0.93221,                0.96917,                0.72333,                 0.9568,                0.49817,                0.93779,                0.00092,                0.00092,                0.00092
                     62,                0.91338,                0.48047,                0.92603,                0.92284,                0.91889,                0.96218,                0.72655,                0.97545,                0.49626,                0.94022,               0.000902,               0.000902,               0.000902
                     63,                0.89894,                 0.4771,                0.91865,                 0.8899,                0.92303,                0.96026,                0.70886,                0.98238,                0.53612,                0.94162,               0.000884,               0.000884,               0.000884
                     64,                 0.8906,                0.48115,                0.91735,                0.92085,                0.91782,                0.97229,                0.71761,                0.96254,                0.52724,                 0.9395,               0.000866,               0.000866,               0.000866
                     65,                 0.8835,                0.46365,                0.91343,                0.92147,                0.92675,                0.97132,                0.72597,                0.98185,                0.48805,                 0.9423,               0.000848,               0.000848,               0.000848
                     66,                0.87559,                0.46296,                0.91726,                0.92459,                0.91603,                0.97063,                 0.7268,                0.96267,                0.49179,                0.94343,                0.00083,                0.00083,                0.00083
                     67,                0.88236,                0.46059,                0.91739,                0.89815,                0.92209,                 0.9675,                0.72441,                0.96542,                0.50817,                0.94829,               0.000812,               0.000812,               0.000812
                     68,                0.88288,                0.46254,                0.91935,                0.91178,                0.91546,                0.97179,                0.72917,                0.97104,                0.48956,                0.94193,               0.000794,               0.000794,               0.000794
                     69,                0.87314,                0.45773,                0.90866,                0.89787,                 0.9383,                0.97085,                0.73461,                0.95895,                0.49257,                0.93971,               0.000776,               0.000776,               0.000776
                     70,                 0.8575,                 0.4504,                0.90616,                0.92286,                 0.9317,                0.97479,                0.73861,                0.95659,                0.48576,                0.93857,               0.000758,               0.000758,               0.000758
                     71,                0.86013,                0.45366,                 0.9134,                0.90747,                0.92423,                0.97247,                0.73695,                0.94354,                0.48438,                 0.9357,                0.00074,                0.00074,                0.00074
                     72,                0.86642,                0.45767,                0.91008,                0.90546,                0.92743,                0.96778,                0.72266,                0.96102,                0.50149,                 0.9413,               0.000722,               0.000722,               0.000722
                     73,                0.86375,                0.45031,                 0.9086,                0.92774,                0.93169,                0.97316,                0.73817,                0.95147,                0.48032,                0.93567,               0.000704,               0.000704,               0.000704
                     74,                0.86151,                0.44708,                0.90969,                0.93269,                0.91676,                0.97019,                0.73402,                0.96557,                0.47888,                0.93987,               0.000686,               0.000686,               0.000686
                     75,                0.85176,                 0.4487,                0.90844,                0.92927,                0.90395,                0.97137,                 0.7286,                0.96492,                 0.4985,                0.94255,               0.000668,               0.000668,               0.000668
                     76,                0.85539,                0.44665,                0.90411,                0.89681,                0.94557,                0.97665,                0.73433,                0.95751,                0.47962,                0.93917,                0.00065,                0.00065,                0.00065
                     77,                 0.8586,                0.45055,                0.90887,                0.92174,                0.91142,                0.97312,                0.72869,                0.97052,                0.49514,                0.94308,               0.000632,               0.000632,               0.000632
                     78,                0.84756,                0.44134,                0.90306,                0.91893,                0.91939,                0.96797,                 0.7333,                0.96342,                0.47534,                 0.9416,               0.000614,               0.000614,               0.000614
                     79,                 0.8452,                0.44603,                0.90683,                0.91627,                0.92258,                0.96833,                0.73224,                0.94905,                0.48426,                0.93509,               0.000596,               0.000596,               0.000596
                     80,                 0.8617,                0.44929,                0.90849,                0.93632,                0.90608,                 0.9712,                0.73444,                0.94294,                0.47684,                0.93635,               0.000578,               0.000578,               0.000578
                     81,                0.84203,                0.44397,                 0.9036,                0.93423,                0.92636,                0.97269,                0.73381,                  0.945,                0.48141,                0.93821,                0.00056,                0.00056,                0.00056
                     82,                0.85122,                0.43863,                0.90314,                0.91812,                0.92141,                0.96625,                0.72758,                0.95249,                0.48125,                0.93838,               0.000542,               0.000542,               0.000542
                     83,                0.84535,                0.44076,                0.90495,                0.92807,                0.92423,                 0.9678,                0.72383,                0.96635,                0.48782,                0.94519,               0.000524,               0.000524,               0.000524
                     84,                0.84218,                0.43713,                0.90865,                0.90948,                 0.9285,                0.96428,                0.72779,                 0.9409,                0.47582,                0.94228,               0.000506,               0.000506,               0.000506
                     85,                0.84528,                0.43971,                 0.9017,                0.92919,                0.92432,                0.97011,                0.73188,                0.94795,                0.48246,                0.93994,               0.000488,               0.000488,               0.000488
                     86,                0.83396,                 0.4379,                0.90051,                0.90908,                0.93907,                0.97033,                0.73363,                0.94314,                0.47711,                0.93755,                0.00047,                0.00047,                0.00047
                     87,                0.83477,                 0.4267,                0.90804,                0.91653,                0.93703,                0.96818,                0.73036,                0.95686,                0.46618,                0.93907,               0.000452,               0.000452,               0.000452
                     88,                0.83403,                0.43589,                0.90099,                0.92261,                0.92873,                0.97035,                0.73168,                0.94196,                0.47492,                 0.9373,               0.000434,               0.000434,               0.000434
                     89,                 0.8365,                0.43749,                0.89922,                0.92501,                0.92149,                0.97111,                0.73655,                0.94134,                0.47272,                0.93718,               0.000416,               0.000416,               0.000416
                     90,                0.82863,                0.43398,                0.89941,                0.91252,                0.93703,                 0.9718,                0.73255,                0.94783,                0.47789,                0.93889,               0.000398,               0.000398,               0.000398
                     91,                0.80832,                0.41219,                0.89914,                0.91591,                0.92998,                0.96474,                0.72654,                0.95724,                0.48669,                0.94406,                0.00038,                0.00038,                0.00038
                     92,                0.79912,                0.40224,                 0.8938,                 0.9089,                0.92634,                0.96975,                0.73506,                0.95049,                0.46754,                0.93781,               0.000362,               0.000362,               0.000362
                     93,                0.80404,                 0.4003,                0.89811,                0.92615,                0.93703,                0.97299,                0.74088,                0.94443,                0.46383,                0.93758,               0.000344,               0.000344,               0.000344
                     94,                0.79647,                0.39978,                0.89335,                0.93242,                0.91569,                 0.9729,                0.73536,                 0.9557,                0.47347,                0.93936,               0.000326,               0.000326,               0.000326
                     95,                0.79086,                0.39702,                0.89435,                0.93053,                0.91676,                0.97578,                0.74044,                0.95445,                0.46916,                0.93855,               0.000308,               0.000308,               0.000308
                     96,                0.78817,                0.38889,                0.89071,                0.93273,                0.92956,                0.97385,                0.73761,                0.95806,                 0.4719,                0.94186,                0.00029,                0.00029,                0.00029
                     97,                0.78936,                0.39109,                0.89441,                0.92831,                0.92423,                 0.9712,                0.73457,                0.96843,                0.47384,                 0.9448,               0.000272,               0.000272,               0.000272
                     98,                0.78572,                0.38847,                0.89171,                0.92689,                 0.9201,                0.97106,                0.73315,                0.95509,                0.47318,                0.93916,               0.000254,               0.000254,               0.000254
                     99,                0.78311,                0.38822,                 0.8911,                0.92827,                0.92538,                0.97131,                0.73516,                0.95437,                0.47855,                0.94182,               0.000236,               0.000236,               0.000236
                    100,                0.77899,                0.38703,                0.89219,                0.93116,                0.91355,                0.97052,                0.73227,                0.96283,                0.47497,                0.94433,               0.000218,               0.000218,               0.000218
